Just	RB	just
different	JJ	different
backgrounds	NNS	background
,	,	,
different	JJ	different
fields	NNS	field
of	IN	of
expertise	NN	expertise
,	,	,
and	CC	and
share	NN	share
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
space	NN	space
,	,	,
as	IN	as
Matt	NP	Matt
Ridley	NP	Ridley
talked	VBD	talk
about	RB	about
,	,	,
where	WRB	where
ideas	NNS	idea
could	MD	could
have	VB	have
sex	NN	sex
.	SENT	.
This	DT	this
was	VBD	be
their	PP$	their
conjugal	JJ	conjugal
bed	NN	bed
,	,	,
in	IN	in
a	DT	a
sense	NN	sense
—	:	-
ideas	NNS	idea
would	MD	would
get	VB	get
together	RB	together
there	RB	there
.	SENT	.
And	CC	and
an	DT	an
astonishing	JJ	astonishing
number	NN	number
of	IN	of
innovations	NNS	innovation
from	IN	from
this	DT	this
period	NN	period
have	VB	have
a	DT	a
coffeehouse	NN	coffeehouse
somewhere	RB	somewhere
in	IN	in
their	PP$	their
story	NN	story
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
spending	VBG	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
thinking	VBG	think
about	IN	about
coffeehouses	NNS	coffeehouse
for	IN	for
the	DT	the
last	JJ	last
five	CD	five
years	NNS	year
,	,	,
because	IN	because
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
kind	NN	kind
of	IN	of
on	IN	on
this	DT	this
quest	NN	quest
to	TO	to
investigate	VB	investigate
this	DT	this
question	NN	question
of	IN	of
where	WRB	where
good	JJ	good
ideas	NNS	idea
come	VBN	come
from	IN	from
.	SENT	.
What	WP	what
are	VBP	be
the	DT	the
environments	NNS	environment
that	WDT	that
lead	VBP	lead
to	TO	to
unusual	JJ	unusual
levels	NNS	level
of	IN	of
innovation	NN	innovation
,	,	,
unusual	JJ	unusual
levels	NNS	level
of	IN	of
creativity	NN	creativity
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
kind	NN	kind
of	IN	of
environmental	JJ	environmental
—	:	-
what	WP	what
is	VBZ	be
the	DT	the
space	NN	space
of	IN	of
creativity	NN	creativity
?	SENT	?
And	CC	and
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
done	VBN	do
is	VBZ	be
I	NP	I
'	POS	'
ve	NN	ve
looked	VBD	look
at	IN	at
both	DT	both
environments	NNS	environment
like	IN	like
the	DT	the
coffeehouse	NN	coffeehouse
;	:	;
I	PP	I
'	POS	'
ve	NN	ve
looked	VBD	look
at	IN	at
media	NNS	medium
environments	NNS	environment
,	,	,
like	IN	like
the	DT	the
world	NN	world
wide	JJ	wide
web	NN	web
,	,	,
that	WDT	that
have	VBP	have
been	VBN	be
extraordinarily	RB	extraordinarily
innovative	JJ	innovative
;	:	;
I	PP	I
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
back	RB	back
to	TO	to
the	DT	the
history	NN	history
of	IN	of
the	DT	the
first	JJ	first
cities	NNS	city
;	:	;
I	PP	I
'	POS	'
ve	NN	ve
even	RB	even
gone	VBN	go
to	TO	to
biological	JJ	biological
environments	NNS	environment
,	,	,
like	IN	like
coral	JJ	coral
reefs	NNS	reef
and	CC	and
rainforests	NNS	rainforest
,	,	,
that	WDT	that
involve	VBP	involve
unusual	JJ	unusual
levels	NNS	level
of	IN	of
biological	JJ	biological
innovation	NN	innovation
;	:	;
and	CC	and
what	WP	what
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
looking	VBG	look
for	IN	for
is	VBZ	be
shared	VBN	share
patterns	NNS	pattern
,	,	,
kind	NN	kind
of	IN	of
signature	NN	signature
behavior	NN	behavior
that	WDT	that
shows	VBZ	show
up	RP	up
again	RB	again
and	CC	and
again	RB	again
in	IN	in
all	DT	all
of	IN	of
these	DT	these
environments	NNS	environment
.	SENT	.
Are	VBP	be
there	RB	there
recurring	VBG	recur
patterns	NNS	pattern
that	IN	that
we	PP	we
can	MD	can
learn	VB	learn
from	IN	from
,	,	,
that	IN	that
we	PP	we
can	MD	can
take	VB	take
and	CC	and
kind	RB	kind
of	IN	of
apply	VB	apply
to	TO	to
our	PP$	our
own	JJ	own
lives	NNS	life
,	,	,
or	CC	or
our	PP$	our
own	JJ	own
organizations	NNS	organization
,	,	,
or	CC	or
our	PP$	our
own	JJ	own
environments	NNS	environment
to	TO	to
make	VB	make
them	PP	them
more	RBR	more
creative	JJ	creative
and	CC	and
innovative	JJ	innovative
?	SENT	?
And	CC	and
I	PP	I
think	VBP	think
I	PP	I
'	''	'
ve	NNS	<unknown>
found	VBD	find
a	DT	a
few	JJ	few
.	SENT	.
But	CC	but
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
this	DT	this
and	CC	and
to	TO	to
really	RB	really
understand	VB	understand
these	DT	these
principles	NNS	principle
is	VBZ	be
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
away	RP	away
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
way	NN	way
in	IN	in
which	WDT	which
our	PP$	our
conventional	JJ	conventional
metaphors	NNS	metaphor
and	CC	and
language	NN	language
steers	VBZ	steer
us	PP	us
towards	IN	towards
certain	JJ	certain
concepts	NNS	concept
of	IN	of
idea-	NN	<unknown>
creation	NN	creation
.	SENT	.
We	PP	we
have	VBP	have
this	DT	this
very	RB	very
rich	JJ	rich
vocabulary	NN	vocabulary
to	TO	to
describe	VB	describe
moments	NNS	moment
of	IN	of
inspiration	NN	inspiration
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
kind	NN	kind
of	IN	of
the	DT	the
flash	NN	flash
of	IN	of
insight	NN	insight
,	,	,
the	DT	the
stroke	NN	stroke
of	IN	of
insight	NN	insight
,	,	,
we	PP	we
have	VBP	have
epiphanies	NNS	epiphany
,	,	,
we	PP	we
have	VBP	have
"	``	"
eureka	NN	<unknown>
!	SENT	!
"	''	"
moments	NNS	moment
,	,	,
we	PP	we
have	VBP	have
the	DT	the
lightbulb	NN	lightbulb
moments	NNS	moment
,	,	,
right	RB	right
?	SENT	?
All	DT	all
of	IN	of
these	DT	these
concepts	NNS	concept
,	,	,
as	IN	as
kind	NN	kind
of	IN	of
rhetorically	RB	rhetorically
florid	JJ	florid
as	IN	as
they	PP	they
are	VBP	be
,	,	,
share	VB	share
this	DT	this
basic	JJ	basic
assumption	NN	assumption
,	,	,
which	WDT	which
is	VBZ	be
that	IN	that
an	DT	an
idea	NN	idea
is	VBZ	be
a	DT	a
single	JJ	single
thing	NN	thing
,	,	,
it	PP	it
'	POS	'
s	NN	S
something	NN	something
that	WDT	that
happens	VBZ	happen
often	RB	often
in	IN	in
a	DT	a
wonderful	JJ	wonderful
illuminating	VBG	illuminate
moment	NN	moment
.	SENT	.
But	CC	but
in	IN	in
fact	NN	fact
,	,	,
what	WP	what
I	PP	I
would	MD	would
argue	VB	argue
and	CC	and
what	WP	what
you	PP	you
really	RB	really
need	VBP	need
to	TO	to
kind	NN	kind
of	IN	of
begin	VB	begin
with	IN	with
is	VBZ	be
this	DT	this
idea	NN	idea
that	IN	that
an	DT	an
idea	NN	idea
is	VBZ	be
a	DT	a
network	NN	network
on	IN	on
the	DT	the
most	RBS	most
elemental	JJ	elemental
level	NN	level
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
is	VBZ	be
happening	VBG	happen
inside	IN	inside
your	PP$	your
brain	NN	brain
.	SENT	.
An	DT	an
idea	NN	idea
—	:	-
a	DT	a
new	JJ	new
idea	NN	idea
—	:	-
is	VBZ	be
a	DT	a
new	JJ	new
network	NN	network
of	IN	of
neurons	NNS	neuron
firing	VBG	fire
in	IN	in
sync	NN	sync
with	IN	with
each	DT	each
other	JJ	other
inside	IN	inside
your	PP$	your
brain	NN	brain
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
new	JJ	new
configuration	NN	configuration
that	WDT	that
has	VBZ	have
never	RB	never
formed	VBN	form
before	RB	before
.	SENT	.
And	CC	and
the	DT	the
question	NN	question
is	VBZ	be
:	:	:
how	WRB	how
do	VBP	do
you	PP	you
get	VB	get
your	PP$	your
brain	NN	brain
into	IN	into
environments	NNS	environment
where	WRB	where
these	DT	these
new	JJ	new
networks	NNS	network
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
more	RBR	more
likely	JJ	likely
to	TO	to
form	VB	form
?	SENT	?
And	CC	and
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
,	,	,
in	IN	in
fact	NN	fact
,	,	,
the	DT	the
kind	NN	kind
of	IN	of
network	NN	network
patterns	NNS	pattern
of	IN	of
the	DT	the
outside	JJ	outside
world	NN	world
mimic	VBP	mimic
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
network	NN	network
patterns	NNS	pattern
of	IN	of
the	DT	the
internal	JJ	internal
world	NN	world
of	IN	of
the	DT	the
human	JJ	human
brain	NN	brain
.	SENT	.
So	IN	so
the	DT	the
metaphor	NN	metaphor
I	PP	I
'	POS	'
d	NN	d
like	IN	like
the	DT	the
use	NN	use
I	PP	I
can	MD	can
take	VB	take
from	IN	from
a	DT	a
story	NN	story
of	IN	of
a	DT	a
great	JJ	great
idea	NN	idea
that	RB	that
'	POS	'
s	NN	S
quite	RB	quite
recent	JJ	recent
—	:	-
a	DT	a
lot	NN	lot
more	RBR	more
recent	JJ	recent
than	IN	than
the	DT	the
1650s	NP	<unknown>
.	SENT	.
A	DT	a
wonderful	JJ	wonderful
guy	NN	guy
named	VBN	name
Timothy	NP	Timothy
Prestero	NP	<unknown>
,	,	,
who	WP	who
has	VBZ	have
a	DT	a
company	NN	company
called	VBD	call
.	SENT	.
.	SENT	.
.	SENT	.
an	DT	an
organization	NN	organization
called	VBN	call
Design	NP	Design
That	DT	that
Matters	NNS	matter
.	SENT	.
They	PP	they
decided	VBD	decide
to	TO	to
tackle	VB	tackle
this	DT	this
really	RB	really
pressing	JJ	pressing
problem	NN	problem
of	IN	of
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
terrible	JJ	terrible
problems	NNS	problem
we	PP	we
have	VBP	have
with	IN	with
infant	JJ	infant
mortality	NN	mortality
rates	NNS	rate
in	IN	in
the	DT	the
developing	VBG	develop
world	NN	world
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
'	POS	'
s	NN	S
very	RB	very
frustrating	JJ	frustrating
about	IN	about
this	DT	this
is	VBZ	be
that	IN	that
we	PP	we
know	VBP	know
,	,	,
by	IN	by
getting	VBG	get
modern	JJ	modern
neonatal	JJ	neonatal
incubators	NNS	incubator
into	IN	into
any	DT	any
context	NN	context
,	,	,
if	IN	if
we	PP	we
can	MD	can
keep	VB	keep
premature	JJ	premature
babies	NNS	baby
warm	JJ	warm
,	,	,
basically	RB	basically
—	:	-
it	PP	it
'	POS	'
s	NN	S
very	RB	very
simple	JJ	simple
—	:	-
we	PP	we
can	MD	can
halve	VB	halve
infant	JJ	infant
mortality	NN	mortality
rates	NNS	rate
in	IN	in
those	DT	those
environments	NNS	environment
.	SENT	.
So	RB	so
,	,	,
the	DT	the
technology	NN	technology
is	VBZ	be
there	RB	there
.	SENT	.
These	DT	these
are	VBP	be
standard	JJ	standard
in	IN	in
all	PDT	all
the	DT	the
industrialized	JJ	industrialized
worlds	NNS	world
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
,	,	,
if	IN	if
you	PP	you
buy	VBP	buy
a	DT	a
$40	NN	<unknown>
,	,	,
000	CD	@card@
incubator	NN	incubator
,	,	,
and	CC	and
you	PP	you
send	VBP	send
it	PP	it
off	RP	off
to	TO	to
a	DT	a
mid-sized	JJ	mid-sized
village	NN	village
in	IN	in
Africa	NP	Africa
,	,	,
it	PP	it
will	MD	will
work	VB	work
great	JJ	great
for	IN	for
a	DT	a
year	NN	year
or	CC	or
two	CD	two
years	NNS	year
,	,	,
and	CC	and
then	RB	then
something	NN	something
will	MD	will
go	VB	go
wrong	JJ	wrong
and	CC	and
it	PP	it
will	MD	will
break	VB	break
,	,	,
and	CC	and
it	PP	it
will	MD	will
remain	VB	remain
broken	VBN	break
forever	RB	forever
,	,	,
because	IN	because
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
whole	JJ	whole
system	NN	system
of	IN	of
spare	JJ	spare
parts	NNS	part
,	,	,
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
on-the-ground	JJ	on-the-ground
expertise	NN	expertise
to	TO	to
fix	VB	fix
this	DT	this
$40	NN	<unknown>
,	,	,
000	CD	@card@
piece	NN	piece
of	IN	of
equipment	NN	equipment
.	SENT	.
And	CC	and
so	RB	so
you	PP	you
end	VB	end
up	IN	up
having	VBG	have
this	DT	this
problem	NN	problem
where	WRB	where
you	PP	you
spend	VBP	spend
all	PDT	all
this	DT	this
money	NN	money
getting	VBG	get
aid	NN	aid
and	CC	and
all	PDT	all
these	DT	these
advanced	JJ	advanced
electronics	NN	electronics
to	TO	to
these	DT	these
countries	NNS	country
,	,	,
and	CC	and
then	RB	then
it	PP	it
ends	VBZ	end
up	RP	up
being	VBG	be
useless	JJ	useless
.	SENT	.
So	RB	so
what	WP	what
Prestero	NP	<unknown>
and	CC	and
his	PP$	his
team	NN	team
decided	VBD	decide
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
look	VB	look
around	RP	around
and	CC	and
see	VB	see
:	:	:
what	WP	what
are	VBP	be
the	DT	the
abundant	JJ	abundant
resources	NNS	resource
in	IN	in
these	DT	these
developing	VBG	develop
world	NN	world
contexts	NNS	context
?	SENT	?
And	CC	and
what	WP	what
they	PP	they
noticed	VBD	notice
was	VBD	be
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
DVRs	NN	<unknown>
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
microwaves	NNS	microwave
,	,	,
but	CC	but
they	PP	they
seem	VBP	seem
to	TO	to
do	VB	do
a	DT	a
pretty	RB	pretty
good	JJ	good
job	NN	job
of	IN	of
keeping	VBG	keep
their	PP$	their
cars	NNS	car
on	IN	on
the	DT	the
road	NN	road
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
Toyota	NP	Toyota
4Runner	NN	<unknown>
on	IN	on
the	DT	the
street	NN	street
in	IN	in
all	PDT	all
these	DT	these
places	NNS	place
.	SENT	.
They	PP	they
seem	VBP	seem
to	TO	to
have	VB	have
the	DT	the
expertise	NN	expertise
to	TO	to
keep	VB	keep
cars	NNS	car
working	VBG	work
.	SENT	.
So	RB	so
they	PP	they
started	VBD	start
to	TO	to
think	VB	think
,	,	,
"	``	"
Could	MD	could
we	PP	we
build	VB	build
a	DT	a
neonatal	JJ	neonatal
incubator	NN	incubator
that	RB	that
'	POS	'
s	NN	S
built	VBD	build
entirely	RB	entirely
out	RB	out
of	IN	of
automobile	NN	automobile
parts	NNS	part
?	SENT	?
"	''	"
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
they	PP	they
ended	VBD	end
up	RP	up
coming	VBG	come
with	IN	with
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
a	DT	a
"	``	"
neonurture	NN	neonurture
device	NN	device
.	SENT	.
"	''	"
From	IN	from
the	DT	the
outside	NN	outside
,	,	,
it	PP	it
looks	VBZ	look
like	IN	like
a	DT	a
normal	JJ	normal
little	JJ	little
thing	NN	thing
you	PP	you
'	POS	'
d	NN	d
find	VBP	find
in	IN	in
a	DT	a
modern	JJ	modern
,	,	,
Western	JJ	Western
hospital	NN	hospital
.	SENT	.
In	IN	in
the	DT	the
inside	NN	inside
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
all	DT	all
car	NN	car
parts	NNS	part
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
fan	NN	fan
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
headlights	NNS	headlight
for	IN	for
warmth	NN	warmth
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
door	NN	door
chimes	NNS	chime
for	IN	for
alarm	NN	alarm
—	:	-
it	PP	it
runs	VBZ	run
off	RP	off
a	DT	a
car	NN	car
battery	NN	battery
.	SENT	.
And	CC	and
so	RB	so
all	RB	all
you	PP	you
need	VBP	need
is	VBZ	be
the	DT	the
spare	JJ	spare
parts	NNS	part
from	IN	from
your	PP$	your
Toyota	NP	Toyota
and	CC	and
the	DT	the
ability	NN	ability
to	TO	to
fix	VB	fix
a	DT	a
headlight	NN	headlight
,	,	,
and	CC	and
you	PP	you
can	MD	can
repair	VB	repair
this	DT	this
thing	NN	thing
.	SENT	.
Now	RB	now
,	,	,
that	IN	that
'	POS	'
s	NN	S
a	DT	a
great	JJ	great
idea	NN	idea
,	,	,
but	CC	but
what	WP	what
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
say	VB	say
is	VBZ	be
that	IN	that
,	,	,
in	IN	in
fact	NN	fact
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
great	JJ	great
metaphor	NN	metaphor
for	IN	for
the	DT	the
way	NN	way
that	IN	that
ideas	NNS	idea
happen	VBP	happen
.	SENT	.
We	PP	we
like	VBP	like
to	TO	to
think	VB	think
our	PP$	our
breakthrough	NN	breakthrough
ideas	NNS	idea
,	,	,
you	PP	you
know	VBP	know
,	,	,
are	VBP	be
like	IN	like
that	DT	that
$40	NN	<unknown>
,	,	,
000	CD	@card@
,	,	,
brand	NN	brand
new	JJ	new
incubator	NN	incubator
,	,	,
state-of-the-art	JJ	state-of-the-art
technology	NN	technology
,	,	,
but	CC	but
more	RBR	more
often	RB	often
than	IN	than
not	RB	not
,	,	,
they	PP	they
'	POS	'
re	NN	re
cobbled	VBD	cobble
together	RB	together
from	IN	from
whatever	JJ	whatever
parts	NNS	part
that	WDT	that
happen	VBP	happen
to	TO	to
be	VB	be
around	RB	around
nearby	JJ	nearby
.	SENT	.
We	PP	we
take	VBP	take
ideas	NNS	idea
from	IN	from
other	JJ	other
people	NNS	people
,	,	,
from	IN	from
people	NNS	people
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
from	IN	from
,	,	,
from	IN	from
people	NNS	people
we	PP	we
run	VBP	run
into	IN	into
in	IN	in
the	DT	the
coffee	NN	coffee
shop	NN	shop
,	,	,
and	CC	and
we	PP	we
stitch	VBP	stitch
them	PP	them
together	RB	together
into	IN	into
new	JJ	new
forms	NNS	form
and	CC	and
we	PP	we
create	VBP	create
something	NN	something
new	JJ	new
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
really	RB	really
where	WRB	where
innovation	NN	innovation
happens	VBZ	happen
.	SENT	.
And	CC	and
that	DT	that
means	VBZ	mean
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
change	VB	change
some	DT	some
of	IN	of
our	PP$	our
models	NNS	model
of	IN	of
what	WP	what
innovation	NN	innovation
and	CC	and
deep	JJ	deep
thinking	NN	thinking
really	RB	really
looks	VBZ	look
like	IN	like
,	,	,
right	RB	right
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
this	DT	this
is	VBZ	be
one	CD	one
vision	NN	vision
of	IN	of
it	PP	it
.	SENT	.
Another	DT	another
is	VBZ	be
Newton	NP	Newton
and	CC	and
the	DT	the
apple	NN	apple
,	,	,
when	WRB	when
Newton	NP	Newton
was	VBD	be
at	IN	at
Cambridge	NP	Cambridge
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
statue	NN	statue
from	IN	from
Oxford	NP	Oxford
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
sitting	VBG	sit
there	RB	there
thinking	VBG	think
a	DT	a
deep	JJ	deep
thought	NN	thought
,	,	,
and	CC	and
the	DT	the
apple	NN	apple
falls	VBZ	fall
from	IN	from
the	DT	the
tree	NN	tree
,	,	,
and	CC	and
you	PP	you
have	VBP	have
the	DT	the
theory	NN	theory
of	IN	of
gravity	NN	gravity
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
spaces	NNS	space
that	WDT	that
have	VBP	have
historically	RB	historically
led	VBN	lead
to	TO	to
innovation	NN	innovation
tend	VBP	tend
to	TO	to
look	VB	look
like	IN	like
this	DT	this
,	,	,
right	RB	right
.	SENT	.
This	DT	this
is	VBZ	be
Hogarth	NP	Hogarth
'	POS	'
s	JJ	<unknown>
famous	JJ	famous
painting	NN	painting
of	IN	of
a	DT	a
kind	NN	kind
of	IN	of
political	JJ	political
dinner	NN	dinner
at	IN	at
a	DT	a
tavern	NN	tavern
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
coffee	NN	coffee
shops	NNS	shop
looked	VBD	look
like	IN	like
back	RB	back
then	RB	then
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
chaotic	JJ	chaotic
environment	NN	environment
where	WRB	where
ideas	NNS	idea
were	VBD	be
likely	JJ	likely
to	TO	to
come	VB	come
together	RB	together
,	,	,
where	WRB	where
people	NNS	people
were	VBD	be
likely	JJ	likely
to	TO	to
have	VB	have
new	JJ	new
,	,	,
interesting	JJ	interesting
,	,	,
unpredictable	JJ	unpredictable
collisions	NNS	collision
—	:	-
people	NNS	people
from	IN	from
different	JJ	different
backgrounds	NNS	background
.	SENT	.
So	RB	so
,	,	,
if	IN	if
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
build	VB	build
