OK	UH	OK
.	SENT	.
"	''	"
About	RB	about
half	PDT	half
an	DT	an
hour	NN	hour
later	RBR	later
,	,	,
he	PP	he
came	VBD	come
back	RB	back
to	TO	to
our	PP$	our
room	NN	room
.	SENT	.
We	PP	we
made	VBD	make
up	RP	up
.	SENT	.
We	PP	we
spent	VBD	spend
another	DT	another
mostly	RB	mostly
happy	JJ	happy
week	NN	week
traveling	VBG	travel
together	RB	together
.	SENT	.
And	CC	and
then	RB	then
,	,	,
when	WRB	when
I	PP	I
got	VBD	get
home	RB	home
,	,	,
I	PP	I
thought	VBD	think
,	,	,
"	``	"
That	DT	that
was	VBD	be
so	RB	so
terrible	JJ	terrible
and	CC	and
so	RB	so
great	JJ	great
.	SENT	.
This	DT	this
must	MD	must
be	VB	be
a	DT	a
real	JJ	real
romance	NN	romance
.	SENT	.
"	''	"
I	PP	I
expected	VBD	expect
my	PP$	my
first	JJ	first
love	NN	love
to	TO	to
feel	VB	feel
like	IN	like
madness	NN	madness
,	,	,
and	CC	and
of	IN	of
course	NN	course
,	,	,
it	PP	it
met	VBD	meet
that	DT	that
expectation	NN	expectation
very	RB	very
well	RB	well
.	SENT	.
But	CC	but
loving	JJ	loving
someone	NN	someone
like	IN	like
that	DT	that
—	:	-
as	RB	as
if	IN	if
my	PP$	my
entire	JJ	entire
well-	NN	<unknown>
being	VBG	be
depended	VBN	depend
on	IN	on
him	PP	him
loving	VBG	love
me	PP	me
back	RB	back
—	:	-
was	VBD	be
not	RB	not
very	RB	very
good	JJ	good
for	IN	for
me	PP	me
or	CC	or
for	IN	for
him	PP	him
.	SENT	.
But	CC	but
I	PP	I
suspect	VBP	suspect
this	DT	this
experience	NN	experience
of	IN	of
love	NN	love
is	VBZ	be
not	RB	not
that	DT	that
unusual	JJ	unusual
.	SENT	.
Most	JJS	most
of	IN	of
us	PP	us
do	VBP	do
feel	VB	feel
a	DT	a
bit	NN	bit
mad	JJ	mad
in	IN	in
the	DT	the
early	JJ	early
stages	NNS	stage
of	IN	of
romantic	JJ	romantic
love	NN	love
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
there	EX	there
is	VBZ	be
research	NN	research
to	TO	to
confirm	VB	confirm
that	IN	that
this	DT	this
is	VBZ	be
somewhat	RB	somewhat
normal	JJ	normal
,	,	,
because	RB	because
,	,	,
neurochemically	RB	neurochemically
speaking	VBG	speak
,	,	,
romantic	JJ	romantic
love	NN	love
and	CC	and
mental	JJ	mental
illness	NN	illness
are	VBP	be
not	RB	not
that	DT	that
easily	RB	easily
distinguished	VBN	distinguish
.	SENT	.
This	DT	this
is	VBZ	be
true	JJ	true
.	SENT	.
This	DT	this
study	NN	study
from	IN	from
1999	CD	@card@
used	VBN	use
blood	NN	blood
tests	NNS	test
to	TO	to
confirm	VB	confirm
that	IN	that
the	DT	the
serotonin	NN	serotonin
levels	NNS	level
of	IN	of
the	DT	the
newly	RB	newly
in	IN	in
love	NN	love
very	RB	very
closely	RB	closely
resembled	VBN	resemble
the	DT	the
serotonin	NN	serotonin
levels	NNS	level
of	IN	of
people	NNS	people
who	WP	who
had	VBD	have
been	VBN	be
diagnosed	VBN	diagnose
with	IN	with
obsessive-compulsive	JJ	obsessive-compulsive
disorder	NN	disorder
.	SENT	.
Yes	UH	yes
,	,	,
and	CC	and
low	JJ	low
levels	NNS	level
of	IN	of
serotonin	NN	serotonin
are	VBP	be
also	RB	also
associated	VBN	associate
with	IN	with
seasonal	JJ	seasonal
affective	JJ	affective
disorder	NN	disorder
and	CC	and
depression	NN	depression
.	SENT	.
So	RB	so
there	EX	there
is	VBZ	be
some	DT	some
evidence	NN	evidence
that	IN	that
love	NN	love
is	VBZ	be
associated	VBN	associate
with	IN	with
changes	NNS	change
to	TO	to
our	PP$	our
moods	NNS	mood
and	CC	and
our	PP$	our
behaviors	NNS	behavior
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
other	JJ	other
studies	NNS	study
to	TO	to
confirm	VB	confirm
that	IN	that
most	JJS	most
relationships	NNS	relationship
begin	VBP	begin
this	DT	this
way	NN	way
.	SENT	.
Researchers	NNS	researcher
believe	VBP	believe
that	IN	that
the	DT	the
low	JJ	low
levels	NNS	level
of	IN	of
serotonin	NN	serotonin
is	VBZ	be
correlated	VBN	correlate
with	IN	with
obsessive	JJ	obsessive
thinking	NN	thinking
about	IN	about
the	DT	the
object	NN	object
of	IN	of
love	NN	love
,	,	,
which	WDT	which
is	VBZ	be
like	IN	like
this	DT	this
feeling	NN	feeling
that	IN	that
someone	NN	someone
has	VBZ	have
set	VBN	set
up	RP	up
camp	NN	camp
in	IN	in
your	PP$	your
brain	NN	brain
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
us	PP	us
feel	VBP	feel
this	DT	this
way	NN	way
when	WRB	when
we	PP	we
first	RB	first
fall	VBP	fall
in	IN	in
love	NN	love
.	SENT	.
But	CC	but
the	DT	the
good	JJ	good
news	NN	news
is	VBZ	be
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
always	RB	always
last	JJ	last
that	IN	that
long	RB	long
—	:	-
usually	RB	usually
from	IN	from
a	DT	a
few	JJ	few
months	NNS	month
to	TO	to
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
.	SENT	.
When	WRB	when
I	PP	I
got	VBD	get
back	RB	back
from	IN	from
my	PP$	my
trip	NN	trip
to	TO	to
South	NP	South
America	NP	America
,	,	,
I	PP	I
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
alone	RB	alone
in	IN	in
my	PP$	my
room	NN	room
,	,	,
checking	VBG	check
my	PP$	my
email	NN	<unknown>
,	,	,
desperate	JJ	desperate
to	TO	to
hear	VB	hear
from	IN	from
the	DT	the
guy	NN	guy
I	PP	I
loved	VBD	love
.	SENT	.
I	PP	I
decided	VBD	decide
that	IN	that
if	IN	if
my	PP$	my
friends	NNS	friend
could	MD	could
not	RB	not
understand	VB	understand
my	PP$	my
grievous	JJ	grievous
affliction	NN	affliction
,	,	,
then	RB	then
I	PP	I
did	VBD	do
not	RB	not
need	VB	need
their	PP$	their
friendship	NN	friendship
.	SENT	.
So	RB	so
I	PP	I
stopped	VBD	stop
hanging	VBG	hang
out	RP	out
with	IN	with
most	JJS	most
of	IN	of
them	PP	them
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
probably	RB	probably
the	DT	the
most	RBS	most
unhappy	JJ	unhappy
year	NN	year
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
I	PP	I
felt	VBD	feel
like	IN	like
it	PP	it
was	VBD	be
my	PP$	my
job	NN	job
to	TO	to
be	VB	be
miserable	JJ	miserable
,	,	,
because	IN	because
if	IN	if
I	PP	I
could	MD	could
be	VB	be
miserable	JJ	miserable
,	,	,
then	RB	then
I	PP	I
would	MD	would
prove	VB	prove
how	WRB	how
much	JJ	much
I	PP	I
loved	VBD	love
him	PP	him
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
could	MD	could
prove	VB	prove
it	PP	it
,	,	,
then	RB	then
we	PP	we
would	MD	would
have	VB	have
to	TO	to
end	VB	end
up	RP	up
together	RB	together
eventually	RB	eventually
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
real	JJ	real
madness	NN	madness
,	,	,
because	IN	because
there	EX	there
is	VBZ	be
no	DT	no
cosmic	JJ	cosmic
rule	NN	rule
that	WDT	that
says	VBZ	say
that	DT	that
great	JJ	great
suffering	NN	suffering
equals	VBZ	equal
great	JJ	great
reward	NN	reward
,	,	,
but	CC	but
we	PP	we
talk	VBP	talk
about	RB	about
love	VB	love
as	RB	as
if	IN	if
this	DT	this
is	VBZ	be
true	JJ	true
.	SENT	.
Our	PP$	our
experiences	NNS	experience
of	IN	of
love	NN	love
are	VBP	be
both	DT	both
biological	JJ	biological
and	CC	and
cultural	JJ	cultural
.	SENT	.
Our	PP$	our
biology	NN	biology
tells	VBZ	tell
us	PP	us
that	IN	that
love	NN	love
is	VBZ	be
good	JJ	good
by	IN	by
activating	VBG	activate
these	DT	these
reward	NN	reward
circuits	NNS	circuit
in	IN	in
our	PP$	our
brain	NN	brain
,	,	,
and	CC	and
it	PP	it
tells	VBZ	tell
us	PP	us
that	IN	that
love	NN	love
is	VBZ	be
painful	JJ	painful
when	WRB	when
,	,	,
after	IN	after
a	DT	a
fight	NN	fight
or	CC	or
a	DT	a
breakup	NN	breakup
,	,	,
that	DT	that
neurochemical	JJ	neurochemical
reward	NN	reward
is	VBZ	be
withdrawn	VBN	withdraw
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
—	:	-
and	CC	and
maybe	RB	maybe
you	PP	you
'	POS	'
ve	NN	ve
heard	VBD	hear
this	DT	this
—	:	-
neurochemically	RB	neurochemically
speaking	VBG	speak
,	,	,
going	VBG	go
through	IN	through
a	DT	a
breakup	NN	breakup
is	VBZ	be
a	DT	a
lot	NN	lot
like	IN	like
going	VBG	go
through	IN	through
cocaine	NN	cocaine
withdrawal	NN	withdrawal
,	,	,
which	WDT	which
I	PP	I
find	VBP	find
reassuring	JJ	reassuring
.	SENT	.
And	CC	and
then	RB	then
our	PP$	our
culture	NN	culture
uses	VBZ	use
language	NN	language
to	TO	to
shape	VB	shape
and	CC	and
reinforce	VB	reinforce
these	DT	these
ideas	NNS	idea
about	IN	about
love	NN	love
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
,	,	,
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
metaphors	NNS	metaphor
about	IN	about
pain	NN	pain
and	CC	and
addiction	NN	addiction
and	CC	and
madness	NN	madness
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
an	DT	an
interesting	JJ	interesting
feedback	NN	feedback
loop	NN	loop
.	SENT	.
Love	NN	love
is	VBZ	be
powerful	JJ	powerful
and	CC	and
at	IN	at
times	NNS	time
painful	JJ	painful
,	,	,
and	CC	and
we	PP	we
express	VBP	express
this	DT	this
in	IN	in
our	PP$	our
words	NNS	word
and	CC	and
stories	NNS	story
,	,	,
but	CC	but
then	RB	then
our	PP$	our
words	NNS	word
and	CC	and
stories	NNS	story
prime	VBP	prime
us	PP	us
to	TO	to
expect	VB	expect
love	NN	love
to	TO	to
be	VB	be
powerful	JJ	powerful
and	CC	and
painful	JJ	painful
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
interesting	JJ	interesting
to	TO	to
me	PP	me
is	VBZ	be
that	IN	that
all	DT	all
of	IN	of
this	DT	this
happens	VBZ	happen
in	IN	in
a	DT	a
culture	NN	culture
that	WDT	that
values	VBZ	value
lifelong	JJ	lifelong
monogamy	NN	monogamy
.	SENT	.
It	PP	it
seems	VBZ	seem
like	IN	like
we	PP	we
want	VBP	want
it	PP	it
both	CC	both
ways	NNS	way
:	:	:
we	PP	we
want	VBP	want
love	NN	love
to	TO	to
feel	VB	feel
like	IN	like
madness	NN	madness
,	,	,
and	CC	and
we	PP	we
want	VBP	want
it	PP	it
to	TO	to
last	VB	last
an	DT	an
entire	JJ	entire
lifetime	NN	lifetime
.	SENT	.
That	DT	that
sounds	VBZ	sound
terrible	JJ	terrible
.	SENT	.
To	TO	to
reconcile	VB	reconcile
this	DT	this
,	,	,
we	PP	we
need	VBP	need
to	TO	to
either	RB	either
