Some	DT	some
man	NN	man
doesn	NN	<unknown>
'	POS	'
t	NN	t
rob	VB	rob
the	DT	the
plane	NN	plane
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
why	WRB	why
would	MD	would
you	PP	you
say	VB	say
that	DT	that
?	SENT	?
You	PP	you
know	VBP	know
Daddy	NN	daddy
wouldn	NN	<unknown>
'	POS	'
t	NN	t
rob	VB	rob
a	DT	a
plane	NN	plane
.	SENT	.
"	``	"
And	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
Yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
well	RB	well
,	,	,
I	PP	I
know	VBP	know
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
why	WRB	why
would	MD	would
you	PP	you
say	VB	say
that	DT	that
?	SENT	?
"	``	"
And	CC	and
he	PP	he
looked	VBD	look
at	IN	at
me	PP	me
with	IN	with
this	DT	this
really	RB	really
sad	JJ	sad
face	NN	face
,	,	,
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
I	PP	I
said	VBD	say
that	RB	that
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
I	PP	I
was	VBD	be
thinking	VBG	think
that	DT	that
.	SENT	.
"	``	"
We	PP	we
are	VBP	be
living	VBG	live
with	IN	with
such	JJ	such
severe	JJ	severe
racial	JJ	racial
stratification	NN	stratification
that	IN	that
even	RB	even
a	DT	a
five-year-old	JJ	five-year-old
can	MD	can
tell	VB	tell
us	PP	us
what	WP	what
'	POS	'
s	NNS	<unknown>
supposed	VBN	suppose
to	TO	to
happen	VB	happen
next	JJ	next
,	,	,
even	RB	even
with	IN	with
no	DT	no
evildoer	NN	evildoer
,	,	,
even	RB	even
with	IN	with
no	DT	no
explicit	JJ	explicit
hatred	NN	hatred
.	SENT	.
This	DT	this
association	NN	association
between	IN	between
blackness	NN	blackness
and	CC	and
crime	NN	crime
made	VBD	make
its	PP$	its
way	NN	way
into	IN	into
the	DT	the
mind	NN	mind
of	IN	of
my	PP$	my
five-year-old	JJ	five-year-old
.	SENT	.
It	PP	it
makes	VBZ	make
its	PP$	its
way	NN	way
into	IN	into
all	DT	all
of	IN	of
our	PP$	our
children	NNS	child
,	,	,
into	IN	into
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
Our	PP$	our
minds	NNS	mind
are	VBP	be
shaped	VBN	shape
by	IN	by
the	DT	the
racial	JJ	racial
disparities	NNS	disparity
we	PP	we
see	VBP	see
out	RP	out
in	IN	in
the	DT	the
world	NN	world
and	CC	and
the	DT	the
narratives	NNS	narrative
that	WDT	that
help	VBP	help
us	PP	us
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
the	DT	the
disparities	NNS	disparity
we	PP	we
see	VBP	see
:	:	:
"	``	"
Those	DT	those
people	NNS	people
are	VBP	be
criminal	JJ	criminal
.	SENT	.
"	''	"
"	``	"
Those	DT	those
people	NNS	people
are	VBP	be
violent	JJ	violent
.	SENT	.
"	''	"
"	``	"
Those	DT	those
people	NNS	people
are	VBP	be
to	TO	to
be	VB	be
feared	VBN	fear
.	SENT	.
"	''	"
When	WRB	when
my	PP$	my
research	NN	research
team	NN	team
brought	VBD	bring
people	NNS	people
into	IN	into
our	PP$	our
lab	NN	lab
and	CC	and
exposed	VBD	expose
them	PP	them
to	TO	to
faces	NNS	face
,	,	,
we	PP	we
found	VBD	find
that	DT	that
exposure	NN	exposure
to	TO	to
black	JJ	black
faces	NNS	face
led	VBD	lead
them	PP	them
to	TO	to
see	VB	see
blurry	JJ	blurry
images	NNS	image
of	IN	of
guns	NNS	gun
with	IN	with
greater	JJR	great
clarity	NN	clarity
and	CC	and
speed	NN	speed
.	SENT	.
Bias	NP	Bias
cannot	MD	can
only	RB	only
control	VB	control
what	WP	what
we	PP	we
see	VBP	see
,	,	,
but	CC	but
where	WRB	where
we	PP	we
look	VBP	look
.	SENT	.
We	PP	we
found	VBD	find
that	IN	that
prompting	VBG	prompt
people	NNS	people
to	TO	to
think	VB	think
of	IN	of
violent	JJ	violent
crime	NN	crime
can	MD	can
lead	VB	lead
them	PP	them
to	TO	to
direct	VB	direct
their	PP$	their
eyes	NNS	eye
onto	IN	onto
a	DT	a
black	JJ	black
face	NN	face
and	CC	and
away	RB	away
from	IN	from
a	DT	a
white	JJ	white
face	NN	face
.	SENT	.
Prompting	VBG	prompt
police	NN	police
officers	NNS	officer
to	TO	to
think	VB	think
of	IN	of
capturing	VBG	capture
and	CC	and
shooting	VBG	shoot
and	CC	and
arresting	VBG	arrest
leads	VBZ	lead
their	PP$	their
eyes	NNS	eye
to	TO	to
settle	VB	settle
on	IN	on
black	JJ	black
faces	NNS	face
,	,	,
too	RB	too
.	SENT	.
Bias	NP	Bias
can	MD	can
infect	VB	infect
every	DT	every
aspect	NN	aspect
of	IN	of
our	PP$	our
criminal	JJ	criminal
justice	NN	justice
system	NN	system
.	SENT	.
In	IN	in
a	DT	a
large	JJ	large
data	NNS	datum
set	VBN	set
of	IN	of
death-eligible	JJ	death-eligible
defendants	NNS	defendant
,	,	,
we	PP	we
found	VBD	find
that	IN	that
looking	VBG	look
more	JJR	more
black	JJ	black
more	RBR	more
than	IN	than
doubled	VBD	double
their	PP$	their
chances	NNS	chance
of	IN	of
receiving	VBG	receive
a	DT	a
death	NN	death
sentence	NN	sentence
--	:	--
at	IN	at
least	JJS	least
when	WRB	when
their	PP$	their
victims	NNS	victim
were	VBD	be
white	JJ	white
.	SENT	.
This	DT	this
effect	NN	effect
is	VBZ	be
significant	JJ	significant
,	,	,
even	RB	even
though	IN	though
we	PP	we
controlled	VBD	control
for	IN	for
the	DT	the
severity	NN	severity
of	IN	of
the	DT	the
crime	NN	crime
and	CC	and
the	DT	the
defendant	NN	defendant
'	POS	'
s	NN	S
attractiveness	NN	attractiveness
.	SENT	.
And	CC	and
no	DT	no
matter	NN	matter
what	WP	what
we	PP	we
controlled	VBD	control
for	IN	for
,	,	,
we	PP	we
found	VBD	find
that	IN	that
black	JJ	black
people	NNS	people
were	VBD	be
punished	VBN	punish
in	IN	in
proportion	NN	proportion
to	TO	to
the	DT	the
blackness	NN	blackness
of	IN	of
their	PP$	their
physical	JJ	physical
features	NNS	feature
:	:	:
the	DT	the
more	RBR	more
black	JJ	black
,	,	,
the	DT	the
more	JJR	more
death-worthy	NN	death-worthy
.	SENT	.
Bias	NP	Bias
can	MD	can
also	RB	also
influence	VB	influence
how	WRB	how
teachers	NNS	teacher
discipline	VBP	discipline
students	NNS	student
.	SENT	.
My	PP$	my
colleagues	NNS	colleague
and	CC	and
I	PP	I
have	VBP	have
found	VBN	find
that	IN	that
teachers	NNS	teacher
express	VBP	express
a	DT	a
desire	NN	desire
to	TO	to
discipline	VB	discipline
a	DT	a
black	JJ	black
middle	JJ	middle
school	NN	school
student	NN	student
more	RBR	more
harshly	RB	harshly
than	IN	than
a	DT	a
white	JJ	white
student	NN	student
for	IN	for
the	DT	the
same	JJ	same
repeated	JJ	repeated
infractions	NNS	infraction
.	SENT	.
In	IN	in
a	DT	a
recent	JJ	recent
study	NN	study
,	,	,
we	PP	we
'	POS	'
re	NN	re
finding	VBG	find
that	IN	that
teachers	NNS	teacher
treat	VBP	treat
black	JJ	black
students	NNS	student
as	IN	as
a	DT	a
group	NN	group
but	CC	but
white	JJ	white
students	NNS	student
as	IN	as
individuals	NNS	individual
.	SENT	.
If	IN	if
,	,	,
for	IN	for
example	NN	example
,	,	,
one	CD	one
black	JJ	black
student	NN	student
misbehaves	VBZ	misbehave
and	CC	and
then	RB	then
a	DT	a
different	JJ	different
black	JJ	black
student	NN	student
misbehaves	VBZ	misbehave
a	DT	a
few	JJ	few
days	NNS	day
later	RBR	later
,	,	,
the	DT	the
teacher	NN	teacher
responds	VBZ	respond
to	TO	to
that	DT	that
second	JJ	second
black	JJ	black
student	NN	student
as	IN	as
if	IN	if
he	PP	he
had	VBD	have
misbehaved	VBN	misbehave
twice	RB	twice
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
as	IN	as
though	IN	though
the	DT	the
sins	NNS	sin
of	IN	of
one	CD	one
child	NN	child
get	VBP	get
piled	VBN	pile
onto	IN	onto
the	DT	the
other	JJ	other
.	SENT	.
We	PP	we
create	VBP	create
categories	NNS	category
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
the	DT	the
world	NN	world
,	,	,
to	TO	to
assert	VB	assert
some	DT	some
control	NN	control
and	CC	and
coherence	NN	coherence
to	TO	to
the	DT	the
stimuli	NNS	stimulus
that	IN	that
we	PP	we
'	POS	'
re	NN	re
constantly	RB	constantly
being	VBG	be
bombarded	VBN	bombard
with	IN	with
.	SENT	.
Categorization	NN	categorization
and	CC	and
the	DT	the
bias	NN	bias
that	IN	that
it	PP	it
seeds	VBZ	seed
allow	VB	allow
our	PP$	our
brains	NNS	brain
to	TO	to
make	VB	make
judgments	NNS	judgment
more	RBR	more
quickly	RB	quickly
and	CC	and
efficiently	RB	efficiently
,	,	,
and	CC	and
we	PP	we
do	VBP	do
this	DT	this
by	IN	by
instinctively	RB	instinctively
relying	VBG	rely
on	IN	on
patterns	NNS	pattern
that	WDT	that
seem	VBP	seem
predictable	JJ	predictable
.	SENT	.
Yet	RB	yet
,	,	,
just	RB	just
as	IN	as
the	DT	the
categories	NNS	category
we	PP	we
create	VBP	create
allow	VB	allow
us	PP	us
to	TO	to
make	VB	make
quick	JJ	quick
decisions	NNS	decision
,	,	,
they	PP	they
also	RB	also
reinforce	VBP	reinforce
bias	NN	bias
.	SENT	.
So	IN	so
the	DT	the
very	JJ	very
things	NNS	thing
that	WDT	that
help	VBP	help
us	PP	us
to	TO	to
see	VB	see
the	DT	the
world	NN	world
also	RB	also
can	MD	can
blind	VB	blind
us	PP	us
to	TO	to
it	PP	it
.	SENT	.
They	PP	they
render	VBP	render
our	PP$	our
choices	NNS	choice
effortless	JJ	effortless
,	,	,
friction-free	JJ	<unknown>
.	SENT	.
Yet	RB	yet
they	PP	they
exact	VBP	exact
a	DT	a
heavy	JJ	heavy
toll	NN	toll
.	SENT	.
So	RB	so
what	WP	what
can	MD	can
we	PP	we
do	VB	do
?	SENT	?
We	PP	we
are	VBP	be
all	RB	all
vulnerable	JJ	vulnerable
to	TO	to
bias	NN	bias
,	,	,
but	CC	but
we	PP	we
don	NN	don
'	POS	'
t	NN	t
act	NN	act
on	IN	on
bias	NN	bias
all	RB	all
the	DT	the
time	NN	time
.	SENT	.
There	EX	there
are	VBP	be
certain	JJ	certain
conditions	NNS	condition
that	WDT	that
can	MD	can
bring	VB	bring
bias	NN	bias
alive	JJ	alive
and	CC	and
other	JJ	other
conditions	NNS	condition
that	WDT	that
can	MD	can
muffle	VB	muffle
it	PP	it
.	SENT	.
Let	VB	let
me	PP	me
give	VB	give
you	PP	you
an	DT	an
example	NN	example
.	SENT	.
Many	JJ	many
people	NNS	people
are	VBP	be
familiar	JJ	familiar
with	IN	with
the	DT	the
tech	NN	tech
company	NN	company
Nextdoor	JJ	nextdoor
.	SENT	.
So	RB	so
,	,	,
their	PP$	their
whole	JJ	whole
purpose	NN	purpose
is	VBZ	be
to	TO	to
create	VB	create
stronger	JJR	strong
,	,	,
healthier	JJR	healthy
,	,	,
safer	JJR	safe
neighborhoods	NNS	neighborhood
.	SENT	.
And	CC	and
so	RB	so
they	PP	they
offer	VBP	offer
this	DT	this
online	JJ	online
space	NN	space
where	WRB	where
neighbors	NNS	neighbor
can	MD	can
gather	VB	gather
and	CC	and
share	NN	share
information	NN	information
.	SENT	.
Yet	RB	yet
,	,	,
Nextdoor	JJ	nextdoor
soon	RB	soon
found	VBN	find
that	IN	that
they	PP	they
had	VBD	have
a	DT	a
problem	NN	problem
with	IN	with
racial	JJ	racial
profiling	VBG	profil
.	SENT	.
In	IN	in
the	DT	the
typical	JJ	typical
case	NN	case
,	,	,
people	NNS	people
would	MD	would
look	VB	look
outside	IN	outside
their	PP$	their
window	NN	window
and	CC	and
see	VB	see
a	DT	a
black	JJ	black
man	NN	man
in	IN	in
their	PP$	their
otherwise	RB	otherwise
white	JJ	white
neighborhood	NN	neighborhood
and	CC	and
make	VB	make
the	DT	the
snap	JJ	snap
judgment	NN	judgment
that	IN	that
he	PP	he
was	VBD	be
up	RP	up
to	TO	to
no	DT	no
good	JJ	good
,	,	,
even	RB	even
when	WRB	when
there	EX	there
was	VBD	be
no	DT	no
evidence	NN	evidence
of	IN	of
criminal	JJ	criminal
wrongdoing	NN	wrongdoing
.	SENT	.
In	IN	in
many	JJ	many
ways	NNS	way
,	,	,
how	WRB	how
we	PP	we
behave	VBP	behave
online	JJ	online
is	VBZ	be
a	DT	a
reflection	NN	reflection
of	IN	of
how	WRB	how
we	PP	we
behave	VBP	behave
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
what	WP	what
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
create	VB	create
an	DT	an
easy-to-use	NN	easy-to-use
system	NN	system
that	WDT	that
can	MD	can
amplify	VB	amplify
bias	NN	bias
and	CC	and
deepen	VB	deepen
racial	JJ	racial
disparities	NNS	disparity
,	,	,
rather	RB	rather
than	IN	than
dismantling	VBG	dismantle
them	PP	them
.	SENT	.
So	IN	so
the	DT	the
cofounder	NN	cofounder
of	IN	of
Nextdoor	JJ	nextdoor
reached	VBN	reach
out	RP	out
to	TO	to
me	PP	me
and	CC	and
to	TO	to
others	NNS	other
to	TO	to
try	VB	try
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
they	PP	they
realized	VBD	realize
that	IN	that
to	TO	to
curb	VB	curb
racial	JJ	racial
profiling	VBG	profil
on	IN	on
the	DT	the
platform	NN	platform
,	,	,
they	PP	they
were	VBD	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
add	VB	add
friction	NN	friction
;	:	;
that	WDT	that
is	VBZ	be
,	,	,
they	PP	they
were	VBD	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
slow	VB	slow
people	NNS	people
down	RB	down
.	SENT	.
So	IN	so
Nextdoor	JJ	nextdoor
had	VBD	have
a	DT	a
choice	NN	choice
to	TO	to
make	VB	make
,	,	,
and	CC	and
against	IN	against
every	DT	every
impulse	NN	impulse
,	,	,
they	PP	they
decided	VBD	decide
to	TO	to
add	VB	add
friction	NN	friction
.	SENT	.
And	CC	and
they	PP	they
did	VBD	do
this	DT	this
by	IN	by
adding	VBG	add
a	DT	a
simple	JJ	simple
checklist	NN	checklist
.	SENT	.
There	EX	there
were	VBD	be
three	CD	three
items	NNS	item
on	IN	on
it	PP	it
.	SENT	.
First	RB	first
,	,	,
they	PP	they
asked	VBD	ask
users	NNS	user
to	TO	to
pause	VB	pause
and	CC	and
think	VB	think
,	,	,
"	''	"
What	WP	what
was	VBD	be
this	DT	this
person	NN	person
doing	VBG	do
that	IN	that
made	VBN	make
him	PP	him
suspicious	JJ	suspicious
?	SENT	?
"	''	"
The	DT	the
category	NN	category
"	``	"
black	JJ	black
man	NN	man
"	''	"
is	VBZ	be
not	RB	not
grounds	NNS	ground
for	IN	for
suspicion	NN	suspicion
.	SENT	.
Second	RB	second
,	,	,
they	PP	they
asked	VBD	ask
users	NNS	user
to	TO	to
describe	VB	describe
the	DT	the
person	NN	person
'	POS	'
s	JJ	<unknown>
physical	JJ	physical
features	NNS	feature
,	,	,
not	RB	not
simply	RB	simply
their	PP$	their
race	NN	race
and	CC	and
gender	NN	gender
.	SENT	.
Third	JJ	third
,	,	,
they	PP	they
realized	VBD	realize
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
didn	NN	<unknown>
'	POS	'
t	NN	t
seem	VBP	seem
to	TO	to
know	VB	know
what	WP	what
racial	JJ	racial
profiling	VBG	profil
was	VBD	be
,	,	,
nor	CC	nor
that	IN	that
they	PP	they
were	VBD	be
engaging	VBG	engage
in	IN	in
it	PP	it
.	SENT	.
So	IN	so
Nextdoor	JJ	nextdoor
provided	VBD	provide
them	PP	them
with	IN	with
a	DT	a
definition	NN	definition
and	CC	and
told	VBD	tell
them	PP	them
that	IN	that
it	PP	it
was	VBD	be
strictly	RB	strictly
prohibited	VBN	prohibit
.	SENT	.
Most	JJS	most
of	IN	of
you	PP	you
have	VBP	have
seen	VBN	see
those	DT	those
signs	NNS	sign
in	IN	in
airports	NNS	airport
and	CC	and
in	IN	in
metro	NN	metro
stations	NNS	station
,	,	,
"	``	"
If	IN	if
you	PP	you
see	VBP	see
something	NN	something
,	,	,
say	VBP	say
something	NN	something
.	SENT	.
"	''	"
Nextdoor	JJ	nextdoor
tried	VBN	try
modifying	VBG	modify
this	DT	this
.	SENT	.
"	``	"
If	IN	if
you	PP	you
see	VBP	see
something	NN	something
suspicious	JJ	suspicious
,	,	,
say	VBP	say
something	NN	something
specific	NN	specific
.	SENT	.
"	''	"
And	CC	and
using	VBG	use
this	DT	this
strategy	NN	strategy
,	,	,
by	IN	by
simply	RB	simply
slowing	VBG	slow
people	NNS	people
down	RB	down
,	,	,
Nextdoor	JJ	nextdoor
was	VBD	be
able	JJ	able
to	TO	to
curb	VB	curb
racial	JJ	racial
profiling	VBG	profil
by	IN	by
75	CD	@card@
percent	NN	percent
.	SENT	.
Now	RB	now
,	,	,
people	NNS	people
often	RB	often
will	MD	will
say	VB	say
to	TO	to
me	PP	me
,	,	,
"	``	"
You	PP	you
can	MD	can
'	''	'
t	NN	t
add	VB	add
friction	NN	friction
in	IN	in
every	DT	every
situation	NN	situation
,	,	,
in	IN	in
every	DT	every
context	NN	context
,	,	,
and	CC	and
especially	RB	especially
for	IN	for
people	NNS	people
who	WP	who
make	VBP	make
split-second	JJ	split-second
decisions	NNS	decision
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
"	``	"
But	CC	but
it	PP	it
turns	VBZ	turn
out	IN	out
we	PP	we
can	MD	can
add	VB	add
friction	NN	friction
to	TO	to
more	JJR	more
situations	NNS	situation
than	IN	than
we	PP	we
think	VBP	think
.	SENT	.
Working	VBG	work
with	IN	with
the	DT	the
Oakland	NP	Oakland
Police	NP	Police
Department	NP	Department
in	IN	in
California	NP	California
,	,	,
I	PP	I
and	CC	and
a	DT	a
number	NN	number
of	IN	of
my	PP$	my
colleagues	NNS	colleague
were	VBD	be
able	JJ	able
to	TO	to
help	VB	help
the	DT	the
department	NN	department
to	TO	to
reduce	VB	reduce
the	DT	the
number	NN	number
of	IN	of
stops	NNS	stop
they	PP	they
made	VBD	make
of	IN	of
people	NNS	people
who	WP	who
were	VBD	be
not	RB	not
committing	VBG	commit
any	DT	any
serious	JJ	serious
crimes	NNS	crime
.	SENT	.
And	CC	and
we	PP	we
did	VBD	do
this	DT	this
by	IN	by
pushing	VBG	push
officers	NNS	officer
to	TO	to
ask	VB	ask
themselves	PP	themselves
a	DT	a
question	NN	question
before	IN	before
each	DT	each
and	CC	and
every	DT	every
stop	NN	stop
they	PP	they
made	VBD	make
:	:	:
"	``	"
Is	VBZ	be
this	DT	this
stop	NN	stop
intelligence-led	NN	<unknown>
,	,	,
yes	UH	yes
or	CC	or
no	RB	no
?	SENT	?
"	''	"
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
do	VBP	do
I	PP	I
have	VBP	have
prior	JJ	prior
information	NN	information
to	TO	to
tie	VB	tie
this	DT	this
particular	JJ	particular
person	NN	person
to	TO	to
a	DT	a
specific	JJ	specific
crime	NN	crime
?	SENT	?
By	IN	by
adding	VBG	add
that	DT	that
question	NN	question
to	TO	to
the	DT	the
form	NN	form
officers	NNS	officer
complete	JJ	complete
during	IN	during
a	DT	a
stop	NN	stop
,	,	,
they	PP	they
slow	VBP	slow
down	RB	down
,	,	,
they	PP	they
pause	VBP	pause
,	,	,
they	PP	they
think	VBP	think
,	,	,
"	``	"
Why	WRB	why
am	VBP	be
I	PP	I
considering	VBG	consider
pulling	VBG	pull
this	DT	this
person	NN	person
over	RB	over
?	SENT	?
"	''	"
In	IN	in
2017	CD	@card@
,	,	,
before	IN	before
we	PP	we
added	VBD	add
that	IN	that
intelligence-led	JJ	<unknown>
question	NN	question
to	TO	to
the	DT	the
form	NN	form
,	,	,
officers	NNS	officer
made	VBD	make
about	IN	about
32	CD	@card@
,	,	,
000	CD	@card@
stops	NNS	stop
across	IN	across
the	DT	the
city	NN	city
.	SENT	.
In	IN	in
that	DT	that
next	JJ	next
year	NN	year
,	,	,
with	IN	with
the	DT	the
addition	NN	addition
of	IN	of
this	DT	this
question	NN	question
,	,	,
that	WDT	that
fell	VBD	fall
to	TO	to
19	CD	@card@
,	,	,
000	CD	@card@
stops	NNS	stop
.	SENT	.
African-American	NP	African-American
stops	NNS	stop
alone	RB	alone
fell	VBD	fall
by	IN	by
43	CD	@card@
percent	NN	percent
.	SENT	.
And	CC	and
stopping	VBG	stop
fewer	JJR	few
black	JJ	black
people	NNS	people
did	VBD	do
not	RB	not
make	VB	make
the	DT	the
city	NN	city
any	DT	any
more	RBR	more
dangerous	JJ	dangerous
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
crime	NN	crime
rate	NN	rate
continued	VBD	continue
to	TO	to
fall	VB	fall
,	,	,
and	CC	and
the	DT	the
city	NN	city
became	VBD	become
safer	JJR	safe
for	IN	for
everybody	NN	everybody
.	SENT	.
So	RB	so
one	CD	one
solution	NN	solution
can	MD	can
come	VB	come
from	IN	from
reducing	VBG	reduce
the	DT	the
number	NN	number
of	IN	of
unnecessary	JJ	unnecessary
stops	NNS	stop
.	SENT	.
Another	DT	another
can	MD	can
come	VB	come
from	IN	from
improving	VBG	improve
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
stops	NNS	stop
officers	NNS	officer
do	VBP	do
make	VB	make
.	SENT	.
And	CC	and
technology	NN	technology
can	MD	can
help	VB	help
us	PP	us
here	RB	here
.	SENT	.
We	PP	we
all	RB	all
know	VBP	know
about	IN	about
George	NP	George
Floyd	NP	Floyd
'	POS	'
s	NN	S
death	NN	death
,	,	,
because	IN	because
those	DT	those
who	WP	who
tried	VBD	try
to	TO	to
come	VB	come
to	TO	to
his	PP$	his
aid	NN	aid
held	VBD	hold
cell	NN	cell
phone	NN	phone
cameras	NNS	camera
to	TO	to
record	VB	record
that	DT	that
horrific	JJ	horrific
,	,	,
fatal	JJ	fatal
encounter	NN	encounter
with	IN	with
the	DT	the
police	NN	police
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
all	DT	all
sorts	NNS	sort
of	IN	of
technology	NN	technology
that	IN	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
putting	VBG	put
to	TO	to
good	JJ	good
use	NN	use
.	SENT	.
Police	NN	police
departments	NNS	department
across	IN	across
the	DT	the
country	NN	country
are	VBP	be
now	RB	now
required	VBN	require
to	TO	to
wear	VB	wear
body-worn	JJ	<unknown>
cameras	NNS	camera
so	IN	so
we	PP	we
have	VBP	have
recordings	NNS	recording
of	IN	of
not	RB	not
only	RB	only
the	DT	the
most	RBS	most
extreme	JJ	extreme
and	CC	and
horrific	JJ	horrific
encounters	NNS	encounter
but	CC	but
of	IN	of
everyday	JJ	everyday
interactions	NNS	interaction
.	SENT	.
With	IN	with
an	DT	an
interdisciplinary	JJ	interdisciplinary
team	NN	team
at	IN	at
Stanford	NP	Stanford
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
begun	VBN	begin
to	TO	to
use	VB	use
machine	NN	machine
learning	VBG	learn
techniques	NNS	technique
to	TO	to
analyze	VB	analyze
large	JJ	large
numbers	NNS	number
of	IN	of
encounters	NNS	encounter
.	SENT	.
This	DT	this
is	VBZ	be
to	TO	to
better	RBR	well
understand	VB	understand
what	WP	what
happens	VBZ	happen
in	IN	in
routine	JJ	routine
traffic	NN	traffic
stops	NNS	stop
.	SENT	.
What	WP	what
we	PP	we
found	VBD	find
was	VBD	be
that	IN	that
even	RB	even
when	WRB	when
police	NN	police
officers	NNS	officer
are	VBP	be
behaving	VBG	behave
professionally	RB	professionally
,	,	,
they	PP	they
speak	VBP	speak
to	TO	to
black	JJ	black
drivers	NNS	driver
less	RBR	less
respectfully	RB	respectfully
than	IN	than
white	JJ	white
drivers	NNS	driver
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
from	IN	from
the	DT	the
words	NNS	word
officers	NNS	officer
