Folks	NNS	folk
make	VB	make
it	PP	it
four	CD	four
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
outside	NN	outside
for	IN	for
this	DT	this
many	JJ	many
days	NNS	day
,	,	,
do	VBP	do
this	DT	this
.	SENT	.
Like	IN	like
,	,	,
make	VB	make
sure	JJ	sure
that	IN	that
you	PP	you
have	VBP	have
at	IN	at
least	JJS	least
once	IN	once
a	DT	a
year	NN	year
,	,	,
some	DT	some
time	NN	time
in	IN	in
wild	JJ	wild
nature	NN	nature
that	RB	that
'	POS	'
s	NN	S
completely	RB	completely
off	IN	off
the	DT	the
grid	NN	grid
because	IN	because
that	DT	that
cultivation	NN	cultivation
of	IN	of
awe	NN	awe
and	CC	and
wonder	NN	wonder
,	,	,
you	PP	you
can	MD	can
look	VB	look
at	IN	at
it	PP	it
as	IN	as
a	DT	a
spiritual	JJ	spiritual
experience	NN	experience
or	CC	or
you	PP	you
can	MD	can
simply	RB	simply
look	VB	look
at	IN	at
it	PP	it
as	IN	as
an	DT	an
uplifting	VBG	uplift
experience	NN	experience
for	IN	for
our	PP$	our
nervous	JJ	nervous
systems	NNS	system
.	SENT	.
Putting	VBG	put
that	IN	that
aside	RB	aside
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
to	TO	to
the	DT	the
"	``	"
Star	NP	Star
Trek	NP	Trek
"	''	"
path	NN	path
for	IN	for
a	DT	a
minute	NN	minute
.	SENT	.
Again	RB	again
,	,	,
the	DT	the
"	``	"
Star	NP	Star
Trek	NP	Trek
"	''	"
path	NN	path
is	VBZ	be
about	RB	about
being	VBG	be
part	NN	part
of	IN	of
making	VBG	make
humanity	NN	humanity
deeper	JJR	deep
,	,	,
better	JJR	good
and	CC	and
wiser	JJR	wise
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
let	VBD	let
your	PP$	your
awe	NN	awe
and	CC	and
wonder	NN	wonder
moment	NN	moment
end	NN	end
simply	RB	simply
by	IN	by
an	DT	an
experience	NN	experience
in	IN	in
the	DT	the
forest	NN	forest
.	SENT	.
Go	VB	go
back	RB	back
home	RB	home
with	IN	with
your	PP$	your
families	NNS	family
,	,	,
your	PP$	your
children	NNS	child
,	,	,
your	PP$	your
community	NN	community
,	,	,
your	PP$	your
condo	NN	condo
association	NN	association
,	,	,
your	PP$	your
cul	NN	cul
de	NP	de
sac	NN	sac
,	,	,
your	PP$	your
co-op	NN	co-op
board	NN	board
,	,	,
do	VBP	do
something	NN	something
to	TO	to
help	VB	help
preserve	NN	preserve
forests	NNS	forest
,	,	,
do	VBP	do
something	NN	something
for	IN	for
nature	NN	nature
.	SENT	.
Get	VB	get
involved	VBN	involve
in	IN	in
a	DT	a
nonprofit	JJ	nonprofit
for	IN	for
climate	NN	climate
change	NN	change
.	SENT	.
Save	VB	save
an	DT	an
animal	NN	animal
.	SENT	.
Be	VB	be
a	DT	a
part	NN	part
of	IN	of
making	VBG	make
a	DT	a
difference	NN	difference
by	IN	by
drawing	VBG	draw
on	IN	on
that	DT	that
powerful	JJ	powerful
well	NN	well
of	IN	of
awe	NN	awe
and	CC	and
wonder	VBP	wonder
that	IN	that
you	PP	you
have	VBP	have
connected	VBN	connect
with	IN	with
when	WRB	when
you	PP	you
stood	VBD	stand
in	IN	in
a	DT	a
forest	NN	forest
,	,	,
watching	VBG	watch
the	DT	the
sunrise	NN	sunrise
.	SENT	.
CZ	NN	CZ
:	:	:
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
a	DT	a
perfect	JJ	perfect
transition	NN	transition
to	TO	to
some	DT	some
of	IN	of
our	PP$	our
audience	NN	audience
questions	NNS	question
.	SENT	.
We	PP	we
have	VBP	have
somebody	NN	somebody
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
see	VBP	see
.	SENT	.
TED	VB	ted
member	NN	member
Diana	NP	Diana
writes	VBZ	write
,	,	,
"	``	"
You	PP	you
briefly	RB	briefly
mentioned	VBD	mention
yoga	NN	yoga
,	,	,
church	NN	church
.	SENT	.
If	IN	if
it	PP	it
'	POS	'
s	NN	S
not	RB	not
those	DT	those
things	NNS	thing
,	,	,
what	WP	what
do	VBP	do
you	PP	you
recommend	VBP	recommend
that	IN	that
people	NNS	people
engage	VBP	engage
with	IN	with
to	TO	to
grow	VB	grow
spiritually	RB	spiritually
?	SENT	?
"	``	"
And	CC	and
I	PP	I
think	VBP	think
connecting	VBG	connect
it	PP	it
with	IN	with
what	WP	what
you	PP	you
were	VBD	be
just	RB	just
saying	VBG	say
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
connect	VBP	connect
the	DT	the
personal	JJ	personal
aspect	NN	aspect
of	IN	of
that	DT	that
spiritual	JJ	spiritual
growth	NN	growth
to	TO	to
then	RB	then
be	VB	be
part	NN	part
of	IN	of
a	DT	a
community	NN	community
,	,	,
to	TO	to
give	VB	give
back	RB	back
in	IN	in
service	NN	service
,	,	,
to	TO	to
be	VB	be
part	NN	part
of	IN	of
something	NN	something
larger	JJR	large
than	IN	than
ourselves	PP	ourselves
?	SENT	?
What	WP	what
does	VBZ	do
that	IN	that
look	NN	look
like	JJ	like
?	SENT	?
RW	NN	RW
:	:	:
Great	JJ	great
question	NN	question
.	SENT	.
And	CC	and
I	PP	I
certainly	RB	certainly
don	VBP	don
'	POS	'
t	NN	t
mean	VBP	mean
to	TO	to
insult	VB	insult
yoga	NN	yoga
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
to	TO	to
this	DT	this
very	RB	very
simple	JJ	simple
idea	NN	idea
of	IN	of
"	``	"
Kung	NP	Kung
Fu	NP	Fu
"	''	"
and	CC	and
"	``	"
Star	NP	Star
Trek	NP	Trek
.	SENT	.
"	``	"
So	RB	so
we	PP	we
go	VBP	go
to	TO	to
yoga	NN	yoga
class	NN	class
,	,	,
we	PP	we
meditate	VBP	meditate
,	,	,
we	PP	we
pray	VBP	pray
,	,	,
we	PP	we
read	VBP	read
the	DT	the
texts	NNS	text
from	IN	from
the	DT	the
holy	JJ	holy
writings	NNS	writing
that	WDT	that
have	VBP	have
been	VBN	be
around	RB	around
since	IN	since
the	DT	the
dawn	NN	dawn
of	IN	of
time	NN	time
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
take	VBP	take
that	IN	that
,	,	,
just	RB	just
like	IN	like
I	PP	I
talked	VBD	talk
about	RB	about
,	,	,
our	PP$	our
connection	NN	connection
with	IN	with
nature	NN	nature
,	,	,
and	CC	and
we	PP	we
move	VBP	move
it	PP	it
into	IN	into
service	NN	service
.	SENT	.
Bahá	NP	<unknown>
'	POS	'
u	NN	u
'	POS	'
lláh	NN	<unknown>
,	,	,
the	DT	the
prophet	NN	prophet
founder	NN	founder
of	IN	of
the	DT	the
Bahá	NP	<unknown>
'	POS	'
í	NP	<unknown>
Faith	NP	Faith
,	,	,
said	VBD	say
all	DT	all
men	NNS	man
were	VBD	be
created	VBN	create
to	TO	to
usher	VB	usher
forward	RB	forward
an	DT	an
ever-advancing	JJ	<unknown>
civilization	NN	civilization
.	SENT	.
So	RB	so
in	IN	in
this	DT	this
context	NN	context
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
spiritual	JJ	spiritual
charge	NN	charge
to	TO	to
all	DT	all
people	NNS	people
to	TO	to
help	VB	help
make	VB	make
the	DT	the
world	NN	world
a	DT	a
better	JJR	good
place	NN	place
.	SENT	.
You	PP	you
can	MD	can
be	VB	be
a	DT	a
bus	NN	bus
driver	NN	driver
,	,	,
a	DT	a
school	NN	school
teacher	NN	teacher
.	SENT	.
Everyone	NN	everyone
has	VBZ	have
a	DT	a
role	NN	role
to	TO	to
play	VB	play
in	IN	in
making	VBG	make
the	DT	the
world	NN	world
a	DT	a
better	JJR	good
place	NN	place
,	,	,
right	RB	right
?	SENT	?
So	RB	so
you	PP	you
take	VBP	take
that	DT	that
action	NN	action
,	,	,
whatever	WDT	whatever
it	PP	it
is	VBZ	be
,	,	,
volunteering	VBG	volunteer
,	,	,
working	VBG	work
for	IN	for
a	DT	a
charity	NN	charity
,	,	,
and	CC	and
guess	VBP	guess
what	WP	what
?	SENT	?
When	WRB	when
you	PP	you
give	VBP	give
in	IN	in
service	NN	service
,	,	,
that	WDT	that
actually	RB	actually
also	RB	also
recharges	VBZ	recharg
your	PP$	your
own	JJ	own
spiritual	JJ	spiritual
batteries	NNS	battery
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
increased	VBN	increase
well-being	NN	well-being
and	CC	and
greater	JJR	great
happiness	NN	happiness
,	,	,
give	VBP	give
to	TO	to
others	NNS	other
.	SENT	.
Share	NN	share
with	IN	with
others	NNS	other
,	,	,
serve	VB	serve
others	NNS	other
.	SENT	.
Live	VB	live
in	IN	in
service	NN	service
.	SENT	.
You	PP	you
recharge	VBP	recharge
your	PP$	your
batteries	NNS	battery
,	,	,
then	RB	then
you	PP	you
have	VBP	have
even	RB	even
more	JJR	more
to	TO	to
give	VB	give
and	CC	and
the	DT	the
cycle	NN	cycle
continues	VBZ	continue
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
yin	NP	Yin
and	CC	and
yang	NP	Yang
.	SENT	.
CZ	NN	CZ
:	:	:
Our	PP$	our
TED	VB	ted
member	NN	member
Diana	NP	Diana
writes	VBZ	write
,	,	,
"	``	"
You	PP	you
mentioned	VBD	mention
that	IN	that
,	,	,
in	IN	in
the	DT	the
'	''	'
70s	NNS	<unknown>
,	,	,
many	JJ	many
people	NNS	people
thought	VBD	think
world	NN	world
peace	NN	peace
was	VBD	be
a	DT	a
worthy	JJ	worthy
goal	NN	goal
and	CC	and
now	RB	now
many	JJ	many
people	NNS	people
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
naive	JJ	naive
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
is	VBZ	be
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
convince	VB	convince
people	NNS	people
who	WP	who
think	VBP	think
wisdom	NN	wisdom
equals	VBZ	equal
skepticism	NN	skepticism
or	CC	or
being	JJ	being
'	''	'
real	JJ	real
'	''	'
about	IN	about
the	DT	the
darkness	NN	darkness
of	IN	of
humanity	NN	humanity
?	SENT	?
"	''	"
RW	NNS	<unknown>
:	:	:
That	WDT	that
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
beautiful	JJ	beautiful
question	NN	question
and	CC	and
well-posed	JJ	<unknown>
.	SENT	.
I	NP	I
'	POS	'
ll	JJ	<unknown>
share	NN	share
a	DT	a
personal	JJ	personal
story	NN	story
that	IN	that
I	PP	I
shared	VBD	share
in	IN	in
the	DT	the
book	NN	book
.	SENT	.
In	IN	in
my	PP$	my
section	NN	section
"	``	"
Seven	NP	Seven
Pillars	NP	Pillars
for	IN	for
a	DT	a
Spiritual	JJ	spiritual
Revolution	NN	revolution
"	``	"
I	PP	I
talk	VBP	talk
about	IN	about
"	``	"
foster	JJ	foster
joy	NN	joy
and	CC	and
cynicism	NN	cynicism
.	SENT	.
"	``	"
And	CC	and
I	PP	I
had	VBD	have
an	DT	an
experience	NN	experience
in	IN	in
New	NP	New
York	NP	York
as	IN	as
a	DT	a
young	JJ	young
actor	NN	actor
.	SENT	.
I	PP	I
was	VBD	be
studying	VBG	study
with	IN	with
the	DT	the
great	JJ	great
acting	JJ	acting
teacher	NN	teacher
,	,	,
André	NP	André
Gregory	NP	Gregory
,	,	,
subject	NN	subject
of	IN	of
the	DT	the
film	NN	film
"	``	"
My	PP$	my
Dinner	NN	dinner
with	IN	with
Andre	NP	Andre
"	''	"
and	CC	and
he	PP	he
would	MD	would
meet	VB	meet
with	IN	with
his	PP$	his
acting	JJ	acting
students	NNS	student
.	SENT	.
And	CC	and
we	PP	we
had	VBD	have
tea	NN	tea
one	CD	one
day	NN	day
in	IN	in
his	PP$	his
apartment	NN	apartment
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
So	RB	so
Rainn	NP	<unknown>
,	,	,
how	WRB	how
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
?	SENT	?
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
Andre	NP	Andre
,	,	,
I	NP	I
'	POS	'
m	NN	m
feeling	NN	feeling
really	RB	really
down	RB	down
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
feeling	NN	feeling
depressed	VBN	depress
,	,	,
I	PP	I
'	POS	'
m	NN	m
feeling	NN	feeling
pessimistic	JJ	pessimistic
,	,	,
I	PP	I
'	POS	'
m	NN	m
feeling	NN	feeling
cynical	JJ	cynical
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
feel	VBP	feel
like	IN	like
the	DT	the
world	NN	world
can	MD	can
get	VB	get
any	DT	any
better	RBR	well
.	SENT	.
And	CC	and
I	PP	I
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
difference	NN	difference
I	PP	I
'	POS	'
m	NN	m
making	NN	making
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
just	RB	just
feeling	VBG	feel
really	RB	really
down	RB	down
about	IN	about
it	PP	it
.	SENT	.
"	``	"
And	CC	and
he	PP	he
was	VBD	be
70-something	JJ	<unknown>
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
And	CC	and
he	PP	he
reached	VBD	reach
out	RP	out
and	CC	and
grabbed	VBD	grab
my	PP$	my
arm	NN	arm
hard	RB	hard
and	CC	and
he	PP	he
looked	VBD	look
right	RB	right
into	IN	into
my	PP$	my
eyes	NNS	eye
like	IN	like
laser	NN	laser
beams	NNS	beam
.	SENT	.
And	CC	and
he	PP	he
goes	VBZ	go
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
never	RB	never
forget	VBP	forget
this	DT	this
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
Don	NP	Don
'	POS	'
t	NN	t
,	,	,
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
it	PP	it
!	SENT	!
You	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
it	PP	it
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
cynical	JJ	cynical
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
pessimistic	JJ	pessimistic
,	,	,
they	PP	they
win	VBP	win
.	SENT	.
If	IN	if
you	PP	you
are	VBP	be
negative	JJ	negative
,	,	,
they	PP	they
win	VBP	win
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
stay	VB	stay
hopeful	JJ	hopeful
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
keep	VB	keep
hope	NN	hope
alive	JJ	alive
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
stay	VB	stay
optimistic	JJ	optimistic
because	IN	because
if	IN	if
you	PP	you
'	POS	'
re	NN	re
cynical	JJ	cynical
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
sit	VBP	sit
back	RB	back
on	IN	on
your	PP$	your
couch	NN	couch
and	CC	and
you	PP	you
won	VBD	win
'	''	'
t	NN	t
do	VBP	do
anything	NN	anything
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
stay	VBP	stay
optimistic	JJ	optimistic
and	CC	and
hopeful	JJ	hopeful
and	CC	and
positive	JJ	positive
about	IN	about
change	NN	change
,	,	,
then	RB	then
you	PP	you
'	POS	'
re	NN	re
actually	RB	actually
going	VBG	go
to	TO	to
do	VB	do
something	NN	something
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
let	VBD	let
them	PP	them
win	VB	win
.	SENT	.
"	``	"
And	CC	and
he	PP	he
released	VBD	release
me	PP	me
,	,	,
and	CC	and
I	PP	I
went	VBD	go
out	RP	out
of	IN	of
his	PP$	his
apartment	NN	apartment
into	IN	into
the	DT	the
West	NP	West
Village	NP	Village
of	IN	of
Manhattan	NP	Manhattan
,	,	,
and	CC	and
it	PP	it
really	RB	really
stuck	VBD	stick
with	IN	with
me	PP	me
my	PP$	my
entire	JJ	entire
life	NN	life
.	SENT	.
And	CC	and
I	PP	I
have	VBP	have
my	PP$	my
own	JJ	own
internal	JJ	internal
battle	NN	battle
because	IN	because
I	PP	I
can	MD	can
get	VB	get
very	RB	very
pessimistic	JJ	pessimistic
and	CC	and
surly	JJ	surly
and	CC	and
negative	JJ	negative
.	SENT	.
My	PP$	my
own	JJ	own
internal	JJ	internal
battle	NN	battle
is	VBZ	be
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
to	TO	to
say	VB	say
,	,	,
"	''	"
To	TO	to
keep	VB	keep
hope	NN	hope
alive	JJ	alive
,	,	,
what	WP	what
can	MD	can
I	PP	I
do	VB	do
?	SENT	?
How	WRB	how
can	MD	can
I	PP	I
make	VB	make
a	DT	a
difference	NN	difference
?	SENT	?
How	WRB	how
can	MD	can
I	PP	I
make	VB	make
the	DT	the
world	NN	world
a	DT	a
better	JJR	good
place	NN	place
?	SENT	?
"	``	"
Because	IN	because
he	PP	he
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
The	DT	the
more	RBR	more
cynical	JJ	cynical
we	PP	we
get	VBP	get
and	CC	and
pessimistic	JJ	pessimistic
we	PP	we
get	VBP	get
,	,	,
especially	RB	especially
about	IN	about
something	NN	something
as	IN	as
important	JJ	important
as	IN	as
climate	NN	climate
change	NN	change
or	CC	or
ending	VBG	end
racism	NN	racism
for	IN	for
instance	NN	instance
,	,	,
things	NNS	thing
are	VBP	be
just	RB	just
going	VBG	go
to	TO	to
stay	VB	stay
the	DT	the
same	JJ	same
.	SENT	.
CZ	NN	CZ
:	:	:
I	PP	I
am	VBP	be
a	DT	a
poet	NN	poet
at	IN	at
heart	NN	heart
,	,	,
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
kind	NN	kind
of	IN	of
close	NN	close
there	RB	there
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
poems	NNS	poem
that	WDT	that
you	PP	you
include	VBP	include
is	VBZ	be
one	CD	one
of	IN	of
my	PP$	my
favorite	JJ	favorite
poems	NNS	poem
,	,	,
William	NP	William
Carlos	NP	Carlos
Williams	NP	Williams
.	SENT	.
And	CC	and
the	DT	the
poem	NN	poem
reads	VBZ	read
,	,	,
"	``	"
It	PP	it
is	VBZ	be
difficult	JJ	difficult
to	TO	to
get	VB	get
the	DT	the
news	NN	news
from	IN	from
poems	NNS	poem
,	,	,
yet	CC	yet
men	NNS	man
die	VBP	die
miserably	RB	miserably
every	DT	every
day	NN	day
for	IN	for
lack	NN	lack
of	IN	of
what	WP	what
is	VBZ	be
found	VBN	find
there	RB	there
.	SENT	.
"	``	"
What	WP	what
does	VBZ	do
that	RB	that
have	VB	have
to	TO	to
do	VB	do
with	IN	with
spirituality	NN	spirituality
to	TO	to
you	PP	you
?	SENT	?
RW	NN	RW
:	:	:
It	PP	it
'	POS	'
s	NN	S
a	DT	a
beautiful	JJ	beautiful
way	NN	way
to	TO	to
bring	VB	bring
this	DT	this
conversation	NN	conversation
around	RB	around
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
speaking	VBG	speak
about	IN	about
these	DT	these
pandemics	NNS	pandemic
,	,	,
I	PP	I
frame	VBP	frame
it	PP	it
by	IN	by
using	VBG	use
that	DT	that
poem	NN	poem
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
segment	NN	segment
from	IN	from
a	DT	a
much	RB	much
larger	JJR	large
poem	NN	poem
by	IN	by
William	NP	William
Carlos	NP	Carlos
Williams	NP	Williams
.	SENT	.
"	``	"
It	PP	it
is	VBZ	be
difficult	JJ	difficult
to	TO	to
get	VB	get
the	DT	the
news	NN	news
from	IN	from
poems	NNS	poem
,	,	,
yet	CC	yet
men	NNS	man
die	VBP	die
miserably	RB	miserably
every	DT	every
day	NN	day
from	IN	from
lack	NN	lack
of	IN	of
what	WP	what
is	VBZ	be
found	VBN	find
there	RB	there
.	SENT	.
"	``	"
What	WP	what
is	VBZ	be
found	VBN	find
in	IN	in
poems	NNS	poem
?	SENT	?
Universal	JJ	universal
human	JJ	human
experiences	NNS	experience
,	,	,
transcendence	NN	transcendence
,	,	,
beauty	NN	beauty
.	SENT	.
Inspiration	NN	inspiration
,	,	,
upliftment	NN	upliftment
.	SENT	.
A	DT	a
mirror	NN	mirror
being	VBG	be
reflected	VBN	reflect
toward	IN	toward
us	PP	us
.	SENT	.
A	DT	a
kind	NN	kind
of	IN	of
storytelling	NN	storytelling
,	,	,
a	DT	a
metaphorical	JJ	metaphorical
kind	NN	kind
of	IN	of
storytelling	NN	storytelling
that	WDT	that
reveals	VBZ	reveal
truth	NN	truth
about	IN	about
the	DT	the
human	JJ	human
condition	NN	condition
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
get	VB	get
the	DT	the
news	NN	news
from	IN	from
it	PP	it
.	SENT	.
But	CC	but
we	PP	we
are	VBP	be
in	IN	in
a	DT	a
crisis	NN	crisis
right	RB	right
now	RB	now
,	,	,
mental	JJ	mental
health	NN	health
crisis	NN	crisis
.	SENT	.
We	PP	we
are	VBP	be
experiencing	VBG	experience
tremendous	JJ	tremendous
numbers	NNS	number
of	IN	of
deaths	NNS	death
,	,	,
of	IN	of
despair	NN	despair
,	,	,
and	CC	and
for	IN	for
lack	NN	lack
of	IN	of
what	WP	what
is	VBZ	be
found	VBN	find
in	IN	in
poetry	NN	poetry
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
say	VB	say
that	IN	that
one	PP	one
could	MD	could
simply	RB	simply
and	CC	and
very	RB	very
easily	RB	easily
substitute	JJ	substitute
spirituality	NN	spirituality
for	IN	for
the	DT	the
word	NN	word
"	``	"
poetry	NN	poetry
.	SENT	.
"	``	"
It	PP	it
is	VBZ	be
difficult	JJ	difficult
to	TO	to
get	VB	get
the	DT	the
news	NN	news
from	IN	from
spirituality	NN	spirituality
,	,	,
but	CC	but
yet	RB	yet
men	NNS	man
die	VBP	die
miserable	JJ	miserable
every	DT	every
day	NN	day
from	IN	from
lack	NN	lack
of	IN	of
what	WP	what
is	VBZ	be
found	VBN	find
there	RB	there
.	SENT	.
There	EX	there
are	VBP	be
deep	JJ	deep
,	,	,
rich	JJ	rich
,	,	,
profound	JJ	profound
spiritual	JJ	spiritual
tools	NNS	tool
,	,	,
writings	NNS	writing
,	,	,
holy	JJ	holy
writings	NNS	writing
,	,	,
wisdom	NN	wisdom
traditions	NNS	tradition
from	IN	from
Indigenous	JJ	indigenous
peoples	NNS	people
,	,	,
from	IN	from
Eastern	JJ	eastern
religions	NNS	religion
,	,	,
Western	JJ	Western
religions	NNS	religion
,	,	,
that	WDT	that
again	RB	again
,	,	,
if	IN	if
we	PP	we
'	POS	'
ve	NN	ve
thrown	VBN	throw
the	DT	the
spiritual	JJ	spiritual
baby	NN	baby
out	RP	out
with	IN	with
the	DT	the
religious	JJ	religious
bathwater	NN	bathwater
,	,	,
OK	UH	OK
,	,	,
but	CC	but
are	VBP	be
there	RB	there
truths	NNS	truth
there	RB	there
that	IN	that
we	PP	we
can	MD	can
draw	VB	draw
from	IN	from
to	TO	to
enrich	VB	enrich
our	PP$	our
lives	NNS	life
,	,	,
again	RB	again
,	,	,
on	IN	on
a	DT	a
"	``	"
Kung	NP	Kung
Fu	NP	Fu
"	''	"
level	NN	level
,	,	,
on	IN	on
a	DT	a
personal	JJ	personal
level	NN	level
?	SENT	?
And	CC	and
are	VBP	be
there	RB	there
tools	NNS	tool
and	CC	and
wisdom	NN	wisdom
and	CC	and
light	NN	light
and	CC	and
hope	VBP	hope
and	CC	and
love	VBP	love
from	IN	from
these	DT	these
great	JJ	great
rich	JJ	rich
,	,	,
ancient	JJ	ancient
traditions	NNS	tradition
that	WDT	that
can	MD	can
also	RB	also
help	VB	help
transform	VB	transform
humanity	NN	humanity
and	CC	and
take	VB	take
it	PP	it
on	IN	on
a	DT	a
path	NN	path
to	TO	to
ever-greater	JJ	ever-greater
love	NN	love
,	,	,
compassion	NN	compassion
and	CC	and
unity	NN	unity
?	SENT	?
CZ	NP	CZ
:	:	:
Rainn	NP	<unknown>
,	,	,
I	PP	I
am	VBP	be
so	RB	so
grateful	JJ	grateful
for	IN	for
this	DT	this
time	NN	time
,	,	,
for	IN	for
a	DT	a
very	RB	very
profound	JJ	profound
conversation	NN	conversation
.	SENT	.
[	SYM	[
Want	NP	Want
to	TO	to
support	VB	support
TED	VB	ted
?	SENT	?
]	SYM	]
[	SYM	[
Become	VBN	become
a	DT	a
TED	VBP	ted
Member	NP	Member
!	SENT	!
]	SYM	]
[	SYM	[
Learn	NP	Learn
more	RBR	more
at	IN	at
ted	VB	ted
.	SENT	.
com	NN	com
/	SYM	/
membership	NN	membership
]	SYM	]
